Size,Automata Name,Accuracies
6,aut_1.pkl,"[0.6365000009536743, 0.6352500319480896, 0.628250002861023, 0.6417500376701355, 0.6347500085830688, 0.6385000348091125, 0.6489999890327454, 0.6457499861717224, 0.6387500166893005, 0.643500030040741, 0.6430000066757202]"
11,aut_1.pkl,"[0.6365000009536743, 0.6887500286102295, 0.6984999775886536, 0.6980000138282776, 0.7007499933242798, 0.6930000185966492, 0.7257500290870667, 0.7252500057220459, 0.7269999980926514, 0.7559999823570251, 0.7632499933242798]"
16,aut_1.pkl,"[0.6365000009536743, 0.6732500195503235, 0.6539999842643738, 0.6855000257492065, 0.6897500157356262, 0.6847500205039978, 0.6840000152587891, 0.6825000047683716, 0.6827499866485596, 0.6892499923706055, 0.6855000257492065]"
21,aut_1.pkl,"[0.6365000009536743, 0.6655000448226929, 0.6965000033378601, 0.7272500395774841, 0.7319999933242798, 0.7307500243186951, 0.7392500042915344, 0.737250030040741, 0.734000027179718, 0.7347500324249268, 0.7367500066757202]"
26,aut_1.pkl,"[0.6365000009536743, 0.6287500262260437, 0.640500009059906, 0.6499999761581421, 0.6502500176429749, 0.6412500143051147, 0.6510000228881836, 0.6495000123977661, 0.6497499942779541, 0.6432499885559082, 0.6472499966621399]"
31,aut_1.pkl,"[0.6365000009536743, 0.6620000004768372, 0.6414999961853027, 0.6442499756813049, 0.6614999771118164, 0.656749963760376, 0.6597499847412109, 0.653499960899353, 0.6489999890327454, 0.656749963760376, 0.6587499976158142]"
36,aut_1.pkl,"[0.6365000009536743, 0.6632499694824219, 0.6702499985694885, 0.6692500114440918, 0.6672499775886536, 0.6694999933242798, 0.668749988079071, 0.6697499752044678, 0.668749988079071, 0.6712499856948853, 0.6712499856948853]"
41,aut_1.pkl,"[0.6365000009536743, 0.6635000109672546, 0.6597499847412109, 0.6665000319480896, 0.6744999885559082, 0.6722500324249268, 0.6730000376701355, 0.6759999990463257, 0.674750030040741, 0.675000011920929, 0.6740000247955322]"
46,aut_1.pkl,"[0.6365000009536743, 0.6707500219345093, 0.6817499995231628, 0.6822500228881836, 0.6812499761581421, 0.6790000200271606, 0.6852499842643738, 0.6807500123977661, 0.6809999942779541, 0.6852499842643738, 0.6840000152587891]"
